76339141;All Of Vines;17:16;*Try Not To Laugh Challenge* Funny Kids Vines Compilation 2016 | Funniest Kids Videos;RNXb6BvRyvg
9184248;BEST VINES;15:41;TRY NOT TO LAUGH OR GRIN CHALLENGE (Impossible): Vine & Instagram Edition Part 6 | BEST VINES;gmjdVFruGlg
3230643;CooL Vines;10:54;Try Not To Laugh Challenge - Funny Cat & Dog Vines compilation 2017;QFH747sK200
7460183;Co Viners;31:19;Ultimate Cole LaBrant Vine Compilation (w/Titles) Funny Cole LaBrant Vines of 2016 - Co Viners;NExQ5JU-c9g
47833692;Dream Vine;14:57;New Zach King Magic Vines Compilation 2016 With Titles;P_-xNFPo_5E
18760325;Popular on YouTube;13:34;Lady Gaga's FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL;txXwg712zw4
1528612;NFL;8:52;Jimmy Interviews Julian Edelman and Bill Belichick After Patriots' Comeback Super Bowl Win;G-5lOHt4c5Y
2905883;The Tonight Show Starring Jimmy Fallon;2:17;Marvel's Iron Fist | Official Trailer [HD] | Netflix;f9OKL5no-S0
1394168;Netflix US & Canada;5:00;Casually Explained: Red Flags;F2JJ4N2uXuc
339244;Casually Explained;9:37;The 50 Craziest Things Trump Has Done As President | The Resistance with Keith Olbermann | GQ;4bwj_CGFaEU
869601;GQ;12:49;Sam Harris: Winning the War of Ideas | Real Time with Bill Maher (HBO);LV7eVvph69Y
11590041;Real Time with Bill Maher;0:37;Stranger Things 2 | Super Bowl 2017 Ad | Netflix;9Egf5U8xLo8
3385076;Netflix US & Canada;0:30;T-Mobile | #BagofUnlimited with Martha Stewart and Snoop Dogg | :30s TV Commercial;8IZpNLPVkrg
2204952;T-Mobile;0:31;Bai 2017 Big Game Ad - Starring Justin Timberlake & Christopher Walken;HvU2CdzPQf8
3912499;Bai Antioxidant Infusions;1:01;Richard Vs Barack;Vqhw8kxVd2o
246975;Richard Branson;0:31;VoteVets: Act Like One;e3qG5u1A_98
749032;votevets;9:51;Bill O'Reilly interviews President Donald Trump before Super Bowl LI | FOX SPORTS;74DAI2hr9Kk
2601007;FOX Sports;7:51;Romantic Cliches in Real Life!;mhEo3J8Q2OI
3833006;nigahiga;0:46;Turkish Airlines - Morgan Freeman Super Bowl Commercial (2017);p_gv6fRejLM
10146257;Turkish Airlines;5:45;84 Lumber Super Bowl Commercial - The Entire Journey;nPo2B-vjZ28
18486643;84 Lumber;8:07;Sean Spicer Press Conference (Melissa McCarthy) - SNL;UWuc18xISwI
8385034;Popular on YouTube;6:33;Oval Office Cold Open - SNL;pZOF9q5fzfs
7751298;Saturday Night Live;5:58;(quotes)NFL 2017(quotes) — A Bad Lip Reading of the NFL;1w8n0L3uUCE
506584;Saturday Night Live;1:50;Dog Wick;iGpZ9xaQLYQ
1401202;Bad Lip Reading;9:10;MY EVIL PIANO TEACHER;Ru94jkT_DdQ
3385076;RocketJump;0:30;T-Mobile | #BagofUnlimited with Martha Stewart and Snoop Dogg | :30s TV Commercial;8IZpNLPVkrg
2204952;danisnotonfire;0:31;Bai 2017 Big Game Ad - Starring Justin Timberlake & Christopher Walken;HvU2CdzPQf8
3912499;T-Mobile;1:01;Richard Vs Barack;Vqhw8kxVd2o
913085;Bai Antioxidant Infusions;0:31;It's A 10 Hair Care Super Bowl Commercial;BH2bCJ5xm9I
2102913;Richard Branson;0:46;TurboTax 2017 Big Game Commercial (quotes)Humpty Hospital(quotes) (Official :45) TV ad - Humpty Dumpty Commercial;i5i-p1miRNw
5091226;itsa10haircare;1:16;Tide | Super Bowl Commercial 2017 with Terry Bradshaw;xT85CFxs-lM
951948;TurboTax;1:26;protein shake;Gh9Dv5D5aCM
1178548;Tide;5:26;SOCIAL MEDIA DIVORCE COURT;ud1NKmWZzOQ
2741337;jacksfilms;4:52;Kristen Stewart Monologue - SNL;Qc4ahnZzVM4
1277076;Smosh;3:42;CRAZY MEXICAN PUPPET | Hailey Baldwin & Awkward Puppets;ri4MPGq2KZs
1626245;Saturday Night Live;3:20;Super Bowl MVP Tom Brady Makes Surprise Appearance on Kimmel;6lgz3ftDI9I
1206916;Rudy Mancuso;4:55;Trump Says Voter Fraud. Stephen Says Bull.;vn1m3IRztfk
2483798;Popular on YouTube;10:02;Trump's Second Week Is as Chaotic as His First: A Closer Look;0x4p59C1E8U
2984135;Jimmy Kimmel Live;3:52;Trump Unveils Huge Wheel of Decisions;yhvs69QUZZ0
3516150;The Late Show with Stephen Colbert;2:02;Mean Tweets - NFL Edition #2;1T6J8hg7WFs
2106471;Late Night with Seth Meyers;11:30;Clueless Gamer Super Bowl Edition: (quotes)For Honor” - CONAN on TBS;QU8aZ-mqd1I
7323075;The Tonight Show Starring Jimmy Fallon;4:38;Wheel of Musical Impressions with Alessia Cara;2OFKM2G-dE8
1385019;Jimmy Kimmel Live;2:05;Puppies Predict Super Bowl LI;pJdkbft2IUc
6011159;Team Coco;9:57;Jon Stewart Reads Trump's Next Batch Of Executive Orders;i-4r9XE5EM0
869601;The Tonight Show Starring Jimmy Fallon;12:49;Sam Harris: Winning the War of Ideas | Real Time with Bill Maher (HBO);LV7eVvph69Y
1761780;The Tonight Show Starring Jimmy Fallon;11:41;Front Man Battle w/ Queen + Adam Lambert;LUuuWyCkS_U
3095017;The Late Show with Stephen Colbert;7:02;Mad Lib Theater with Dakota Johnson (Fifty Shades Darker Edition);XHce62IrMOQ
1075151;Real Time with Bill Maher;4:45;Beyoncé And Trump Celebrate Black History Month In Very Different Ways;rZr94sKU19M
1051840;The Late Late Show with James Corden;7:13;The Not-A-Muslim-Ban Muslim Ban | Full Frontal with Samantha Bee | TBS;4RM2HtvLSLs
847049;The Tonight Show Starring Jimmy Fallon;5:15;Kid Stand-Up with Keanu Reeves and Judd Apatow;hLRemMpWB8o
7479902;The Late Show with Stephen Colbert;1:12;1 Hour Best of People are Stupid - Fail Compilation 2016;hrRPDQ09hqQ
5168517;Full Frontal with Samantha Bee;22:23;David Lopez Funny Vines Compilation - Best Vines 2015;rm76WlGvhb4
7792095;The Tonight Show Starring Jimmy Fallon;24:31;You Laugh You Lose Super Challenge;-EdSmjHpdVc
76339141;WSHH Vine Comp of the Week;17:16;*Try Not To Laugh Challenge* Funny Kids Vines Compilation 2016 | Funniest Kids Videos;RNXb6BvRyvg
9667400;Funny Vines;18:26;*HARDEST VERSION* Try Not to Laugh or Grin While Watching This - Funniest Vines of November 2016 #1;xqNu4D62GJg
20183755;THEBrandonBrownsonJr;34:45;BatDad NEW Vines 2015 - Vine compilation - Best Viners;mVxLv4-om6Y
10764831;All Of Vines;10:11;TRY NOT TO LAUGH (CARTOON EDITION);G3Q2BB-8SI4
2086386;The Funniest Vines;19:29;Try not to laugh while Watching Eastside Ivo Funny Instagram Compilation 2016;LEijVzXND5g
1247580;Best Viners;13:44;Dean Martin 12/12/75 hilarious on The Tonight Show starring Johnny Carson 1975;zyl4Vvjc7pI
2731507;VINESRB;8:01;Original Risitas,with english subtitles! Very Funny Laugh in TV Show!!!!;wgzdb0txR_c
8447884;InstaCompis;4:29;Key & Peele - Black Republicans;G2tLyqfJd54
761187;FredFlix;13:10;The Wisdoms of Al Bundy;NO0EvVXj0Cc
2481066;Sutyor Gábor;1:12;1 Hour Best of People are Stupid - Ultimate Fail Compilation 2016;eAf96dsNyAg
19117324;Comedy Central;5:49;Donald Trump Interviews Himself In the Mirror;c2DgwPG7mAA
6763280;wanderer168;2:56;10+ FUNNIEST Test Answers From Smartass Kids;ciLDVny0EyY
10860333;World News;13:39;Greatest Trick Plays in Football History;Fj8G9dGuNkU
2179761;The Tonight Show Starring Jimmy Fallon;16:09;Top 10 hardest football knockout hits;oavayHUI68g
11773051;Smile;5:50;Top 20 Unexpected Goals In Football;Q1rhoq77dcY
894421;Jaydon;11:33;Greatest NFL Ejections;fFyR24t4JtA
3469318;TheLookin4now;21:04;Patriots vs. Falcons | Super Bowl LI Game Highlights;016LXFHpFCk
33741943;Dan1s;3:49;Top 10 Smart Penalty Goals In Football;WxcuEVaaOWs
5346000;baseball maniac;1:01;Big Game Commercial with Cam Newton & Miranda Kerr | Buick;Nx2PMnSzCB4
815972;NFL;15:30;Patriots or Falcons: Who's Better? | Move the Sticks | Super Bowl LI Preview | NFL;ANZLWtwYvoE
783351;Fazeli;3:03;Tom Brady Leads Game-Winning Overtime TD Drive! | Patriots vs. Falcons | Super Bowl LI Highlights;wfEUDJdskCo
592831;Buick;4:22;Tom Brady Leads CLUTCH Game-Tying Drive! | Patriots vs. Falcons | Super Bowl LI Highlights;7Ag4sW6LZ2o
753444;NFL;0:31;Super Bowl Baby Legends | Who’s Next? | Football is Family;9csH_Hy-7A4
787619;NFL;1:25;Tom Brady TD Pass & Trick Play Cuts Falcons Lead! | Patriots vs. Falcons | Super Bowl LI Highlights;6UGGA69vTcE
519070;NFL;1:14;James White Game-Winning OT Touchdown! | Patriots vs. Falcons | Super Bowl LI Highlights;Axj4FVhkoL8
520164;NFL;1:15;Robert Alford Pick 6 Off Tom Brady! | Patriots vs. Falcons | Super Bowl LI Highlights;khmdb4CyDB8
4843853;NFL;3:19;JUSTICE LEAGUE - Trailer 2 (2017 Movie) (quotes)Fallen God(quotes) Teaser (FanMade);Ek-W-9v76is
15540357;NFL;5:20;THE BOSS BABY (quotes)Diapers(quotes) Trailer Tease (Animation, 2017);wfvxTyFJOiU
9601796;NFL;6:31;10 Secrets About The Disney Pixar Universe That Will Blow Your Mind;JQdtFUjMBHg
2077886;Movies - Topic;2:36;LIFE - Official Trailer #2 (HD);cuA-xqBw4jE
33630508;Teaser PRO;16:43;SING : ALL the Movie CLIPS + TRAILERS Compilation ! (Animation Blockbuster, 2016);OOEkauITk3Q
4602189;Fresh Movie Trailers;1:20;Pirates of the Caribbean: Dead Men Tell No Tales: Extended Look;i3wJjLXjySg
19567086;Screen Rant;10:34;Trolls release clip compilation (2016);OlVoLPyIbLw
12077050;Sony Pictures Entertainment;2:32;Beauty and the Beast – US Official Final Trailer;e3Nl_TCQXuw
3155597;Fresh Movie Trailers;0:59;Guardians of the Galaxy Vol. 2 Extended Big Game Spot;CaLNiC-bKHQ
1714974;Disney Movie Trailers;8:35;10 Improvised Movie Scenes That Made Actors React Out Of Nowhere;cz1gPC4rwHQ
1143170;FilmIsNow Movie Bloopers & Extras;2:31;The LEGO Batman Movie - Gotham Cribs;WkOwqr9N5pE
3197097;Disney Movie Trailers;3:28;PIRATES OF THE CARIBBEAN 5 Trailer + Super Bowl Spot (2017) Dead Men Tell No Tales, Disney Movie HD;XibzC-e_s5M
4206990;Marvel Entertainment;0:31;Logan | (quotes)Grace(quotes) #SB51 Commercial | 20th Century Fox;fDnXUq2uV6c
18087332;Screen Rant;3:00;Badrinath Ki Dulhania - Official Trailer | Karan Johar | Varun Dhawan | Alia Bhatt;ztX-iGlZ_Ug
1028700;Warner Bros. Pictures;0:31;Baywatch (2017) - Big Game Spot - Paramount Pictures;mHxTamHu5yI
;ONE Media;;;
;20th Century Fox;;;
;Dharma Productions;;;
;Paramount Pictures;;;
